TIA,Albania,AIR BP-A/BP PRODUCTS NORTH AMERICA INC(BP OIL CO)/,1,4.3068,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required:Fuel Release - minimum 24 hours in advance 2) Operating Hours: OPS: 03:00 - 21:00 / Out of hours fuelling available - 24 Hours notice required 3) Ramps serviced:Can fuel on military apron 4) Additional Information: VAT applies for domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com,30-Jan-19
TYR,United States,JOHNSON AVIATION-A/AVFUEL CORP/,1,4.22148, **Price for fuel item: JET FUEL**,HOURS OF OPERATIONS MON-SAT 0700-2000 LCL. SUNDAY 0800-2000 LCL. CALL OUT FEE $75 PER HOUR. PRIST .02 CENTS PER GALLON.,30-Jul-19
TYR,United States,JOHNSON AVIATION-A/AVFUEL CORP/,401,4.07148, **Price for fuel item: JET FUEL**,HOURS OF OPERATIONS MON-SAT 0700-2000 LCL. SUNDAY 0800-2000 LCL. CALL OUT FEE $75 PER HOUR. PRIST .02 CENTS PER GALLON.,30-Jul-19
TYR,United States,JOHNSON AVIATION-A/AVFUEL CORP/,701,3.92148, **Price for fuel item: JET FUEL**,HOURS OF OPERATIONS MON-SAT 0700-2000 LCL. SUNDAY 0800-2000 LCL. CALL OUT FEE $75 PER HOUR. PRIST .02 CENTS PER GALLON.,30-Jul-19
TYR,United States,JOHNSON AVIATION-A/AVFUEL CORP/,1001,3.68148, **Price for fuel item: JET FUEL**,HOURS OF OPERATIONS MON-SAT 0700-2000 LCL. SUNDAY 0800-2000 LCL. CALL OUT FEE $75 PER HOUR. PRIST .02 CENTS PER GALLON.,30-Jul-19
TYR,United States,JET CENTER-A/EASTERN AVIATION FUELS INC DBA TITAN AVIATION FUELS/,1,4.2559, **Price for fuel item: JET FUEL**,HOURS = 0600 to 2200....AFTER HRS CALL OUT FEE $75.00,05-Aug-19
TYR,United States,JET CENTER-A/EASTERN AVIATION FUELS INC DBA TITAN AVIATION FUELS/,401,4.1059, **Price for fuel item: JET FUEL**,HOURS = 0600 to 2200....AFTER HRS CALL OUT FEE $75.00,05-Aug-19
TYR,United States,JET CENTER-A/EASTERN AVIATION FUELS INC DBA TITAN AVIATION FUELS/,701,3.9559, **Price for fuel item: JET FUEL**,HOURS = 0600 to 2200....AFTER HRS CALL OUT FEE $75.00,05-Aug-19
TYR,United States,JET CENTER-A/EASTERN AVIATION FUELS INC DBA TITAN AVIATION FUELS/,1001,3.7159, **Price for fuel item: JET FUEL**,HOURS = 0600 to 2200....AFTER HRS CALL OUT FEE $75.00,05-Aug-19
TYS,United States,TAC AIR-A/TAC AIR DBA TRUMAN ARNOLD COMPANIES/TRUCK,1,5.57953, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TYS,United States,TAC AIR-A/TAC AIR DBA TRUMAN ARNOLD COMPANIES/TRUCK,500,5.21378, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TYS,United States,TAC AIR-A/TAC AIR DBA TRUMAN ARNOLD COMPANIES/TRUCK,1000,4.95253, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TZR,United States,COLUMBUS JET CENTER-A/EASTERN AVIATION FUELS INC DBA TITAN AVIATION FUELS/,1,5.29949, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TZR,United States,COLUMBUS JET CENTER-A/EASTERN AVIATION FUELS INC DBA TITAN AVIATION FUELS/,300,5.08449, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TZR,United States,COLUMBUS JET CENTER-A/EASTERN AVIATION FUELS INC DBA TITAN AVIATION FUELS/,500,4.86949, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
TZR,United States,COLUMBUS JET CENTER-A/EASTERN AVIATION FUELS INC DBA TITAN AVIATION FUELS/,1000,4.60074, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
U96,United States,ROUGHROCK AVIATION LLC-A/AVFUEL CORP/,1,5.43542, **Price for fuel item: JETA-ADDITIVE **,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,30-Jul-19
UAO,United States,LYNX FBO AURORA LLC-A/AVFUEL CORP/,1,6.07335, **Price for fuel item: JET FUEL**,HOURS: 0600 to 1900.. Mon - Fri.........0700 to 1900.. Sat & Sun....//....UNICOM= 122.85,24-Jul-19
UAO,United States,LYNX FBO AURORA LLC-A/AVFUEL CORP/,251,5.92335, **Price for fuel item: JET FUEL**,HOURS: 0600 to 1900.. Mon - Fri.........0700 to 1900.. Sat & Sun....//....UNICOM= 122.85,24-Jul-19
UAO,United States,LYNX FBO AURORA LLC-A/AVFUEL CORP/,501,5.87335, **Price for fuel item: JET FUEL**,HOURS: 0600 to 1900.. Mon - Fri.........0700 to 1900.. Sat & Sun....//....UNICOM= 122.85,24-Jul-19
UAO,United States,LYNX FBO AURORA LLC-A/AVFUEL CORP/,751,5.77335, **Price for fuel item: JET FUEL**,HOURS: 0600 to 1900.. Mon - Fri.........0700 to 1900.. Sat & Sun....//....UNICOM= 122.85,24-Jul-19
UAO,United States,LYNX FBO AURORA LLC-A/AVFUEL CORP/,1001,5.57335, **Price for fuel item: JET FUEL**,HOURS: 0600 to 1900.. Mon - Fri.........0700 to 1900.. Sat & Sun....//....UNICOM= 122.85,24-Jul-19
UDD,United States,"BERMUDA DUNES AIRPORT-A/BERESFORD SCOTT COMPANY, INC/",1,99999,"Price expired, Please contact World Fuel Services for updated price. **Price for fuel item: JET FUEL**",1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,25-Jun-19
UDD,United States,"BERMUDA DUNES AIRPORT-A/BERESFORD SCOTT COMPANY, INC/",300,99999,"Price expired, Please contact World Fuel Services for updated price. **Price for fuel item: JET FUEL**",1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,25-Jun-19
UES,United States,ATLANTIC AVIATION-A/TRAJEN FLIGHT SUPPORT LP/TRUCK,1,5.45976, **Price for fuel item: JET FUEL**,N/A,31-Jul-19
UES,United States,ATLANTIC AVIATION-A/TRAJEN FLIGHT SUPPORT LP/TRUCK,301,5.35976, **Price for fuel item: JET FUEL**,N/A,31-Jul-19
UES,United States,ATLANTIC AVIATION-A/TRAJEN FLIGHT SUPPORT LP/TRUCK,501,5.25976, **Price for fuel item: JET FUEL**,N/A,31-Jul-19
UES,United States,ATLANTIC AVIATION-A/TRAJEN FLIGHT SUPPORT LP/TRUCK,1001,5.15976, **Price for fuel item: JET FUEL**,N/A,31-Jul-19
UES,United States,ATLANTIC AVIATION-A/TRAJEN FLIGHT SUPPORT LP/TRUCK,1501,5.05976, **Price for fuel item: JET FUEL**,N/A,31-Jul-19
UGN,United States,SIGNATURE FLIGHT SUPPORT-A/SIGNATURE FLIGHT SUPPORT/,1,5.78456, **Price for fuel item: JET FUEL**,HOURS: 24 / 7......///... ASRI 131.85,06-Aug-19
UGN,United States,SIGNATURE FLIGHT SUPPORT-A/SIGNATURE FLIGHT SUPPORT/,501,5.71456, **Price for fuel item: JET FUEL**,HOURS: 24 / 7......///... ASRI 131.85,06-Aug-19
UGN,United States,SIGNATURE FLIGHT SUPPORT-A/SIGNATURE FLIGHT SUPPORT/,1201,5.61456, **Price for fuel item: JET FUEL**,HOURS: 24 / 7......///... ASRI 131.85,06-Aug-19
UTM,United States,TUNICA AIR CENTER-A/TUNICA AIR CENTER/,1,3.89108, **Price for fuel item: JET FUEL**,Fueling hours: 0700 to 2300 -- 7 days a week...//...UNICOM = 123.00,30-Jul-19
UVA,United States,UVALDE FLIGHT CENTER UVA-A/AVFUEL CORP/,1,4.57764, **Price for fuel item: JET FUEL**,HOURS: Mon - Fri = 0700 to 1900...... SAT - SUN= 0800 to 1700....//....UNICOM = 122.80,30-Jul-19
UVA,United States,UVALDE FLIGHT CENTER UVA-A/AVFUEL CORP/,201,4.42764, **Price for fuel item: JET FUEL**,HOURS: Mon - Fri = 0700 to 1900...... SAT - SUN= 0800 to 1700....//....UNICOM = 122.80,30-Jul-19
UVA,United States,UVALDE FLIGHT CENTER UVA-A/AVFUEL CORP/,501,4.22764, **Price for fuel item: JET FUEL**,HOURS: Mon - Fri = 0700 to 1900...... SAT - SUN= 0800 to 1700....//....UNICOM = 122.80,30-Jul-19
UVA,United States,UVALDE FLIGHT CENTER UVA-A/AVFUEL CORP/,1001,4.07764, **Price for fuel item: JET FUEL**,HOURS: Mon - Fri = 0700 to 1900...... SAT - SUN= 0800 to 1700....//....UNICOM = 122.80,30-Jul-19
UXL,United States,SOUTHLAND AVIATION-A/AVFUEL CORP/,1,4.40429, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,30-Jul-19
UXL,United States,SOUTHLAND AVIATION-A/AVFUEL CORP/,251,4.19539, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,30-Jul-19
UXL,United States,SOUTHLAND AVIATION-A/AVFUEL CORP/,501,3.98649, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,30-Jul-19
VBT,United States,SUMMIT AVIATION-A/EASTERN AVIATION FUELS INC DBA TITAN AVIATION FUELS/,1,5.25908, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
VBT,United States,SUMMIT AVIATION-A/EASTERN AVIATION FUELS INC DBA TITAN AVIATION FUELS/,101,5.14958, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
VBT,United States,SUMMIT AVIATION-A/EASTERN AVIATION FUELS INC DBA TITAN AVIATION FUELS/,201,5.09483, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
VBT,United States,SUMMIT AVIATION-A/EASTERN AVIATION FUELS INC DBA TITAN AVIATION FUELS/,301,4.98533, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
VBT,United States,SUMMIT AVIATION-A/EASTERN AVIATION FUELS INC DBA TITAN AVIATION FUELS/,501,4.71158, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
VCT,United States,VICTORIA REGIONAL AIRPORT-A/EPIC AVIATION LLC/,1,4.11605, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
VCT,United States,VICTORIA REGIONAL AIRPORT-A/EPIC AVIATION LLC/,251,4.09605, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
VCT,United States,VICTORIA REGIONAL AIRPORT-A/EPIC AVIATION LLC/,501,4.07605, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
VCV,United States,MILLION AIR-A/WORLD FUEL SERVICES INC/TRUCK,1,4.48823, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
VDF,United States,SKYPORT HOLDINGS TAMPA LLC-A/SKYPORT HOLDINGS TAMPA LLC/,1,5.24454, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
VDF,United States,SKYPORT HOLDINGS TAMPA LLC-A/SKYPORT HOLDINGS TAMPA LLC/,501,4.99454, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
VDF,United States,SKYPORT HOLDINGS TAMPA LLC-A/SKYPORT HOLDINGS TAMPA LLC/,1001,4.74454, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
VEL,United States,APEX AVIATION-A/AVFUEL CORP/,1,4.32347, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,30-Jul-19
VGT,United States,NORTH LAS VEGAS AIRPORT-A/CLARK COUNTY NEVADA/,1,5.20494, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
VGT,United States,NORTH LAS VEGAS AIRPORT-A/CLARK COUNTY NEVADA/,125,4.70494, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
VGT,United States,NORTH LAS VEGAS AIRPORT-A/CLARK COUNTY NEVADA/,250,4.60494, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
VGT,United States,NORTH LAS VEGAS AIRPORT-A/CLARK COUNTY NEVADA/,500,4.45494, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
VGT,United States,NORTH LAS VEGAS AIRPORT-A/CLARK COUNTY NEVADA/,1000,4.35494, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
VGT,United States,NORTH LAS VEGAS AIRPORT-A/CLARK COUNTY NEVADA/,3000,4.30494, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: None 2) Ramps serviced: OWN 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
VIS,United States,VISALIA AIRPORT-A/CITY OF VISALIA/TRUCK,1,4.65035, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: 45 MIN NOTICE 2) Ramps serviced: ALL AIRPORT RAMPS 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
VIS,United States,VISALIA AIRPORT-A/CITY OF VISALIA/TRUCK,501,4.45035, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: 45 MIN NOTICE 2) Ramps serviced: ALL AIRPORT RAMPS 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
VIS,United States,VISALIA AIRPORT-A/CITY OF VISALIA/TRUCK,1001,4.15035, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: 45 MIN NOTICE 2) Ramps serviced: ALL AIRPORT RAMPS 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
VLD,United States,VALDOSTA FLYING SERVICE-A/PHILLIPS 66 COMPANY/,1,5.76939, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: PROVIDE AS MUCH NOTICE AS POSSIBLE FOR AFTER HOURS 2) Ramps serviced: ALL 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,30-Jul-19
VLD,United States,VALDOSTA FLYING SERVICE-A/PHILLIPS 66 COMPANY/,250,5.71689, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: PROVIDE AS MUCH NOTICE AS POSSIBLE FOR AFTER HOURS 2) Ramps serviced: ALL 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,30-Jul-19
VLD,United States,VALDOSTA FLYING SERVICE-A/PHILLIPS 66 COMPANY/,500,5.66439, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: PROVIDE AS MUCH NOTICE AS POSSIBLE FOR AFTER HOURS 2) Ramps serviced: ALL 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,30-Jul-19
VLD,United States,VALDOSTA FLYING SERVICE-A/PHILLIPS 66 COMPANY/,750,5.50689, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: PROVIDE AS MUCH NOTICE AS POSSIBLE FOR AFTER HOURS 2) Ramps serviced: ALL 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,30-Jul-19
VLD,United States,VALDOSTA FLYING SERVICE-A/PHILLIPS 66 COMPANY/,1000,5.24439, **Price for fuel item: JET FUEL**,1) Minimum Notice Required: PROVIDE AS MUCH NOTICE AS POSSIBLE FOR AFTER HOURS 2) Ramps serviced: ALL 3) Additional Information: Prist is available For more information please contact your local fuel logistics team on fuel24@wfscorp.com,30-Jul-19
